Linea;Billete de FGC/Integrados/Combinados;Tipo de billete;Billete;Zonas;Precio
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;4;11.95
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TA;2;19.3
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;3;20.5
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TA;4;24.0
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TA;5;27.2
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;1;11.1
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TA;1;11.7
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TA;2;13.7
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TA;1;16.0
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TA;2;18.0
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TA;4;22.7
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TB;5;25.0
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - 3a edat - TB;0;6.2
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - Nens (4 - 13 anys) - TA;0;6.9
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - 3a edat - TB;0;10.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - Carnet Jove - TB;0;10.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - Carnet Jove - TA;0;11.2
Tren i Cremallera de Montserrat;Bitllets Cremallera;Bitllet 1r i 2n Cremallera;Bitllet 1r i 2n Cremallera;0;9.2
Tren i Cremallera de Montserrat;Bitllets Cremallera;Bitllet 1r i 2n Cremallera;Bitllet 1r i 2n Cremallera - Nens (4-13 anys);0;5.0
Tren i Cremallera de Montserrat;Bitllets Cremallera;M-10;M-10;0;101.0
Tren i Cremallera de Montserrat;Bitllets Cremallera;M-Museu;M-Museu (4-13 anys);0;9.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Trans Montserrat Monistrol;Trans Montserrat Monistrol;0;22.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Trans Montserrat Monistrol;Trans Montserrat Monistrol - Nens (4 -13 anys);0;12.5
Tren i Cremallera de Montserrat;Bitllets Cremallera;Tot Montserrat Monistrol;Tot Montserrat Monistrol;0;25.75
Tren i Cremallera de Montserrat;Bitllets Cremallera;Tot Montserrat Monistrol;Tot Montserrat Monistrol;0;37.6
Lleida - La Pobla de Segur;Bitllets integrats;T-10;T-10;1;10.0
Lleida - La Pobla de Segur;Bitllets integrats;T-50/30;T-50/30;2;44.45
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes;T-Mes;1;40.2
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes;T-Mes;2;58.2
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes FM/FN Esp.;T-Mes FM/FN Esp.;1;20.1
Lleida - La Pobla de Segur;Bitllets integrats;T-70/90 FM/FN Gral.;T-70/90 FM/FN Gral.;1;56.0
Lleida - La Pobla de Segur;Bitllets integrats;T-12;T-12;2;0.0
