Linea;Billete de FGC/Integrados/Combinados;Tipo de billete;Billete;Zonas;Precio
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TB;5;14.25
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;4;17.8
Totes;Bitllets integrats;T-usual;T-usual;4;92.55
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TA;5;14.85
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TA;5;21.6
Totes;Bitllets integrats;T-jove;T-jove;4;180.75
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TB;2;7.2
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TB;3;19.3
Totes;Bitllets integrats;T-dia;T-dia;1;10.5
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TA;3;8.6
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TB;4;21.8
Totes;Bitllets integrats;T-dia;T-dia;6;28.15
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TA;4;9.85
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TA;5;25.9
Totes;Bitllets integrats;T-familiar;T-familiar;5;40.0
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TB;5;11.15
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - TA;0;7.5
Totes;Bitllets integrats;T-grup;T-grup;4;274.4
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TA;5;11.45
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - Nens (4-13 anys) - TB;0;3.8
Totes;Bitllets integrats;T-grup;T-grup;6;335.3
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;3;10.7
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill- Nens (4 - 13 anys) - TA;0;4.1
Totes;Bitllets integrats;T-aire;T-aire;1;2.05
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;5;13.55
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - 3a edat - TA;0;6.7
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;2;43.1
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;5;14.05
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - Carnet Jove - TB;0;6.2
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;2;26.95
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;1;16.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill Carnet Jove - TA;0;6.7
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;4;46.3
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TA;1;17.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - 3a edat - TA;0;11.2
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;5;53.1
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TA;3;21.5
Tren i Cremallera de Montserrat;Bitllets Cremallera;M-Museu;M-Museu;0;17.0
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;6;56.9
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;4;23.0
Tren i Cremallera de Montserrat;Bitllets Cremallera;Trans Montserrat Monistrol;Trans Montserrat Monistrol - 3a edat;0;19.8
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;1;64.0
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;2;13.1
Lleida - La Pobla de Segur;Bitllets integrats;T-10;T-10;2;15.55
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;5;165.95
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TA;3;15.9
Lleida - La Pobla de Segur;Bitllets integrats;T-50/30;T-50/30;1;30.5
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;6;111.15
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TA;4;18.4
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes FM/FN Gral.;T-Mes FM/FN Gral.;1;32.15
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;1;63.55
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;5;21.0
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes FM/FN Gral.;T-Mes FM/FN Gral.;2;46.55
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;2;125.45
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TB;1;15.1
Lleida - La Pobla de Segur;Bitllets integrats;T-Mes FM/FN Esp.;T-Mes FM/FN Esp.;2;29.1
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;3;170.8
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TB;2;17.1
Lleida - La Pobla de Segur;Bitllets integrats;T-70/90 FM/FN Gral.;T-70/90 FM/FN Gral.;2;87.1
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;4;219.5
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - 3a edat TA;3;20.2
Lleida - La Pobla de Segur;Bitllets integrats;T-70/90 FM/FN Esp.;T-70/90 FM/FN Esp.;1;35.0
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;5;252.3
Tren i Cremallera de Montserrat;Bitllets Cremallera;Senzill;Senzill - TB;0;6.9
Lleida - La Pobla de Segur;Bitllets integrats;T-70/90 FM/FN Esp.;T-70/90 FM/FN Esp.;2;54.45
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;1;39.75
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - TB;0;11.5
Lleida - La Pobla de Segur;Bitllets integrats;T-12;T-12;1;0.0
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;4;137.2
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - TA;0;12.5
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;5;157.7
Tren i Cremallera de Montserrat;Bitllets Cremallera;Anada i tornada;Anada i tornada - Nens (4-13 anys) - TB;0;6.3
Totes;Bitllets de FGC;Senzill;Bitllet senzill;1;2.4
Tren i Cremallera de Montserrat;Bitllets Cremallera;M-5;M-5;0;56.0
Totes;Bitllets de FGC;Senzill;Bitllet senzill;2;3.4
Tren i Cremallera de Montserrat;Bitllets Cremallera;Tot Montserrat Monistrol;Tot Montserrat Monistrol;0;42.8
Totes;Bitllets de FGC;Senzill;Bitllet senzill;4;5.75
Lleida - La Pobla de Segur;Bitllets integrats;T-10/30;T-10/30;1;7.95
Totes;Bitllets de FGC;Senzill;Bitllet senzill;5;7.35
Lleida - La Pobla de Segur;Bitllets integrats;T-10/30;T-10/30;2;12.6
Totes;Bitllets de FGC;Senzill;Bitllet senzill;6;8.55
